row,zipcode,state,lat,long
4623,95407,CA,38.39,-122.75
4624,95437,CA,39.47,-123.63
4625,95472,CA,38.4,-122.86
4626,95476,CA,38.24,-122.46
4627,95476,CA,38.24,-122.46
4628,95482,CA,39.12,-123.28
4629,95482,CA,39.12,-123.28
4630,95501,CA,40.8,-124.15
4631,95501,CA,40.8,-124.15
4632,95503,CA,40.71,-124.11
4633,95503,CA,40.71,-124.11
4634,95540,CA,40.57,-124.15
4635,95602,CA,39,-121.09
4636,95603,CA,38.92,-121.07
4637,95608,CA,38.62,-121.32
4638,95616,CA,38.48,-121.64
4639,95618,CA,38.53,-121.66
4640,95619,CA,38.67,-120.81
4641,95619,CA,38.67,-120.81
4642,95621,CA,38.69,-121.31
4643,95624,CA,38.44,-121.3
4644,95624,CA,38.44,-121.3
4645,95630,CA,38.67,-121.14
4646,95630,CA,38.67,-121.14
4647,95630,CA,38.67,-121.14
4648,95631,CA,39.03,-120.82
4649,95631,CA,39.03,-120.82
4650,95631,CA,39.03,-120.82
4651,95640,CA,38.33,-120.88
4652,95660,CA,38.66,-121.37
4653,95662,CA,38.68,-121.22
4654,95663,CA,38.85,-121.18
4655,95666,CA,38.56,-120.17
4656,95667,CA,38.73,-120.8
4657,95667,CA,38.73,-120.8
4658,95670,CA,38.6,-121.26
4659,95670,CA,38.6,-121.26
4660,95677,CA,38.8,-121.24
4661,95678,CA,38.76,-121.28
4662,95682,CA,38.61,-120.97
4663,95688,CA,38.41,-122.01
4664,95688,CA,38.41,-122.01
4665,95693,CA,38.39,-121.24
4666,95695,CA,38.71,-121.85
4667,95747,CA,38.78,-121.37
4668,95747,CA,38.78,-121.37
4669,95747,CA,38.78,-121.37
4670,95747,CA,38.78,-121.37
4671,95747,CA,38.78,-121.37
4672,95747,CA,38.78,-121.37
4673,95757,CA,38.35,-121.42
4674,95762,CA,38.68,-121.05
4675,95762,CA,38.68,-121.05
4676,95765,CA,38.81,-121.28
4677,95765,CA,38.81,-121.28
4678,95816,CA,38.57,-121.46
4679,95820,CA,38.53,-121.44
4680,95822,CA,38.51,-121.49
4681,95823,CA,38.47,-121.44
4682,95823,CA,38.47,-121.44
4683,95825,CA,38.58,-121.4
4684,95826,CA,38.54,-121.38
4685,95826,CA,38.54,-121.38
4686,95828,CA,38.48,-121.4
4687,95828,CA,38.48,-121.4
4688,95831,CA,38.49,-121.53
4689,95831,CA,38.49,-121.53
4690,95831,CA,38.49,-121.53
4691,95831,CA,38.49,-121.53
4692,95833,CA,38.61,-121.49
